fecha,email,id_reserva,descripcion,monto
2025-08-01 12:00:00,sim@hotboat.cl,1000000,Ingreso simulado por reserva,160000
2025-08-02 12:00:00,sim@hotboat.cl,1000001,Ingreso simulado por reserva,160000
2025-08-03 12:00:00,sim@hotboat.cl,1000002,Ingreso simulado por reserva,160000
2025-08-08 12:00:00,sim@hotboat.cl,1000003,Ingreso simulado por reserva,160000
2025-08-10 12:00:00,sim@hotboat.cl,1000004,Ingreso simulado por reserva,160000
2025-08-13 12:00:00,sim@hotboat.cl,1000005,Ingreso simulado por reserva,160000
2025-08-15 12:00:00,sim@hotboat.cl,1000006,Ingreso simulado por reserva,160000
2025-08-16 12:00:00,sim@hotboat.cl,1000007,Ingreso simulado por reserva,160000
2025-08-17 12:00:00,sim@hotboat.cl,1000008,Ingreso simulado por reserva,160000
2025-08-20 12:00:00,sim@hotboat.cl,1000009,Ingreso simulado por reserva,160000
2025-08-22 12:00:00,sim@hotboat.cl,1000010,Ingreso simulado por reserva,160000
2025-08-23 12:00:00,sim@hotboat.cl,1000011,Ingreso simulado por reserva,160000
2025-08-24 12:00:00,sim@hotboat.cl,1000012,Ingreso simulado por reserva,160000
2025-08-24 12:10:00,sim@hotboat.cl,1000013,Ingreso simulado por reserva,160000
2025-08-27 12:00:00,sim@hotboat.cl,1000014,Ingreso simulado por reserva,160000
2025-08-29 12:00:00,sim@hotboat.cl,1000015,Ingreso simulado por reserva,160000
2025-08-30 12:00:00,sim@hotboat.cl,1000016,Ingreso simulado por reserva,160000
2025-08-31 12:00:00,sim@hotboat.cl,1000017,Ingreso simulado por reserva,160000
2025-08-31 12:10:00,sim@hotboat.cl,1000018,Ingreso simulado por reserva,160000
2025-09-04 12:00:00,sim@hotboat.cl,1000019,Ingreso simulado por reserva,160000
2025-09-05 12:00:00,sim@hotboat.cl,1000020,Ingreso simulado por reserva,160000
2025-09-06 12:00:00,sim@hotboat.cl,1000021,Ingreso simulado por reserva,160000
2025-09-07 12:00:00,sim@hotboat.cl,1000022,Ingreso simulado por reserva,160000
2025-09-11 12:00:00,sim@hotboat.cl,1000023,Ingreso simulado por reserva,160000
2025-09-12 12:00:00,sim@hotboat.cl,1000024,Ingreso simulado por reserva,160000
2025-09-13 12:00:00,sim@hotboat.cl,1000025,Ingreso simulado por reserva,160000
2025-09-14 12:00:00,sim@hotboat.cl,1000026,Ingreso simulado por reserva,160000
2025-09-18 12:00:00,sim@hotboat.cl,1000027,Ingreso simulado por reserva,160000
2025-09-18 12:10:00,sim@hotboat.cl,1000028,Ingreso simulado por reserva,160000
2025-09-19 12:00:00,sim@hotboat.cl,1000029,Ingreso simulado por reserva,160000
2025-09-20 12:00:00,sim@hotboat.cl,1000030,Ingreso simulado por reserva,160000
2025-09-20 12:10:00,sim@hotboat.cl,1000031,Ingreso simulado por reserva,160000
2025-09-21 12:00:00,sim@hotboat.cl,1000032,Ingreso simulado por reserva,160000
2025-09-22 12:00:00,sim@hotboat.cl,1000033,Ingreso simulado por reserva,160000
2025-09-25 12:00:00,sim@hotboat.cl,1000034,Ingreso simulado por reserva,160000
2025-09-26 12:00:00,sim@hotboat.cl,1000035,Ingreso simulado por reserva,160000
2025-09-27 12:00:00,sim@hotboat.cl,1000036,Ingreso simulado por reserva,160000
2025-09-28 12:00:00,sim@hotboat.cl,1000037,Ingreso simulado por reserva,160000
2025-09-30 12:00:00,sim@hotboat.cl,1000038,Ingreso simulado por reserva,160000
2025-10-03 12:00:00,sim@hotboat.cl,1000039,Ingreso simulado por reserva,160000
2025-10-04 12:00:00,sim@hotboat.cl,1000040,Ingreso simulado por reserva,160000
2025-10-05 12:00:00,sim@hotboat.cl,1000041,Ingreso simulado por reserva,160000
2025-10-09 12:00:00,sim@hotboat.cl,1000042,Ingreso simulado por reserva,160000
2025-10-10 12:00:00,sim@hotboat.cl,1000043,Ingreso simulado por reserva,160000
2025-10-11 12:00:00,sim@hotboat.cl,1000044,Ingreso simulado por reserva,160000
2025-10-12 12:00:00,sim@hotboat.cl,1000045,Ingreso simulado por reserva,160000
2025-10-17 12:00:00,sim@hotboat.cl,1000046,Ingreso simulado por reserva,160000
2025-10-18 12:00:00,sim@hotboat.cl,1000047,Ingreso simulado por reserva,160000
2025-10-19 12:00:00,sim@hotboat.cl,1000048,Ingreso simulado por reserva,160000
